import time: self [us] | cumulative | imported package
import time:       929 |        929 |                   scipy._lib._uarray._uarray
import time:       762 |       1691 |                 scipy._lib._uarray._backend
import time:       309 |       1999 |               scipy._lib._uarray
import time:       240 |       2408 |             scipy._lib.uarray
import time:     14644 |      17051 |           scipy.fft._basic
import time:      5538 |       5538 |           scipy.fft._realtransforms
import time:       571 |        571 |             scipy.fft._fftlog_backend
import time:      2114 |       2685 |           scipy.fft._fftlog
import time:      1299 |       1299 |                 scipy.fft._pocketfft.pypocketfft
import time:       600 |        600 |                 scipy.fft._pocketfft.helper
import time:       385 |       2283 |               scipy.fft._pocketfft.basic
import time:       222 |        222 |               scipy.fft._pocketfft.realtransforms
import time:       231 |       2735 |             scipy.fft._pocketfft
import time:      3087 |       5822 |           scipy.fft._helper
import time:       240 |        240 |             scipy.fft._basic_backend
import time:       203 |        203 |             scipy.fft._realtransforms_backend
import time:      1316 |       1757 |           scipy.fft._backend
import time:     16045 |     178243 |         scipy.signal.windows._windows
import time:      1300 |       1300 |         scipy.signal.windows.windows
import time:       293 |     179835 |       scipy.signal.windows
import time:       302 |        302 |       scipy.signal._waveforms
import time:       874 |        874 |         scipy.signal._max_len_seq_inner
import time:       227 |       1101 |       scipy.signal._max_len_seq
import time:      1038 |       1038 |         scipy.signal._upfirdn_apply
import time:       265 |       1303 |       scipy.signal._upfirdn
import time:       754 |        754 |       scipy.signal._spline
import time:       405 |        405 |           timeit
import time:       504 |        504 |                     scipy.sparse._sputils
import time:       252 |        252 |                     scipy.sparse._matrix
import time:       938 |       1694 |                   scipy.sparse._base
import time:      1230 |       1230 |                     scipy.sparse._sparsetools
import time:       427 |        427 |                       scipy.sparse._data
import time:       373 |        373 |                       scipy.sparse._index
import time:       681 |       1480 |                     scipy.sparse._compressed
import time:       482 |       3191 |                   scipy.sparse._csr
import time:       351 |        351 |                   scipy.sparse._csc
import time:      1463 |       1463 |                     scipy.sparse._csparsetools
import time:       468 |       1930 |                   scipy.sparse._lil
import time:       606 |        606 |                   scipy.sparse._dok
import time:      1583 |       1583 |                   scipy.sparse._coo
import time:       471 |        471 |                   scipy.sparse._dia
import time:       542 |        542 |                   scipy.sparse._bsr
import time:      2208 |       2208 |                   scipy.sparse._construct
import time:       218 |        218 |                   scipy.sparse._extract
import time:       189 |        189 |                   scipy.sparse._matrix_io
import time:       157 |        157 |                   scipy.sparse.base
import time:       170 |        170 |                   scipy.sparse.bsr
